distance,spectra_overlap,sca_abs,fe
50,71.47749,1.217029566,2.387973676
40,71.47749,1.217029566,4.273881737
30,71.47749,1.217029566,9.15499896
20,71.47749,1.217029566,24.18631169
18,71.47749,1.217029566,29.91771791
16,71.47749,1.217029566,37.2426559
14,71.47749,1.217029566,45.99107972
12,71.47749,1.217029566,56.48766027
10,71.47749,1.217029566,67.63772209
8,71.47749,1.217029566,76.80611656
6,71.47749,1.217029566,75.44680903
4,71.47749,1.217029566,40.1005238
2,71.47749,1.217029566,0.558499753
50,80.33536,1.594319447,1.972288473
40,80.33536,1.594319447,3.671354125
30,80.33536,1.594319447,8.130460109
20,80.33536,1.594319447,21.27518608
18,80.33536,1.594319447,26.11391927
16,80.33536,1.594319447,32.29141256
14,80.33536,1.594319447,39.786476
12,80.33536,1.594319447,48.38627508
10,80.33536,1.594319447,57.65869674
8,80.33536,1.594319447,65.24050507
6,80.33536,1.594319447,63.70770816
4,80.33536,1.594319447,33.34815791
2,80.33536,1.594319447,0.430345394
50,89.53053,1.911343029,1.694063871
40,89.53053,1.911343029,3.364541753
30,89.53053,1.911343029,7.972393212
20,89.53053,1.911343029,21.82746413
18,89.53053,1.911343029,27.09910454
16,89.53053,1.911343029,33.60335934
14,89.53053,1.911343029,41.67769882
12,89.53053,1.911343029,51.00099053
10,89.53053,1.911343029,61.20006602
8,89.53053,1.911343029,69.51497299
6,89.53053,1.911343029,68.72470233
4,89.53053,1.911343029,36.18675747
2,89.53053,1.911343029,0.478126625
50,102.3699,2.819547207,1.50089819
40,102.3699,2.819547207,3.215488897
30,102.3699,2.819547207,8.020098838
20,102.3699,2.819547207,22.78790894
18,102.3699,2.819547207,28.40809227
16,102.3699,2.819547207,35.30109555
14,102.3699,2.819547207,43.97625353
12,102.3699,2.819547207,53.98321575
10,102.3699,2.819547207,65.46172266
8,102.3699,2.819547207,76.21139273
6,102.3699,2.819547207,77.74322539
4,102.3699,2.819547207,43.21656538
2,102.3699,2.819547207,0.621449513
