sio2,au_shell,spectrum_max_peak,sca_abs,distance,em,qe,fe
60,70,771,28.62585,30,1.45783,2.090655173,4.443203185
80,22,657,3.77995,4,5.58306,0.876899126,27.3334359
80,22,657,3.77995,6,5.39785,1.891474448,55.11148361
80,22,657,3.77995,8,5.12245,2.439479731,64.01071376
80,22,657,3.77995,10,4.83515,2.706802551,63.28145854
80,22,657,3.77995,12,4.55725,2.826863644,58.70979551
80,22,657,3.77995,14,4.29646,2.890058424,53.34923153
80,22,657,3.77995,16,4.05516,2.922699035,48.06180586
80,22,657,3.77995,18,3.83327,2.908428987,42.73633598
80,22,657,3.77995,20,3.62966,2.882059955,37.96950208
80,22,657,3.77995,30,2.83319,2.680417559,21.51561947
80,32,668,9.36603,4,4.53432,0.691890018,14.22529881
80,32,668,9.36603,6,4.3335,1.677863619,31.50897381
80,32,668,9.36603,8,4.13455,2.283787368,39.04021162
80,32,668,9.36603,10,3.93198,2.603357017,40.24911452
80,32,668,9.36603,12,3.73402,2.739778907,38.20047801
80,32,668,9.36603,14,3.54583,2.800764289,35.21375843
80,32,668,9.36603,16,3.36952,2.850679073,32.3656553
80,32,668,9.36603,18,3.20547,2.823299213,29.00950648
80,32,668,9.36603,20,3.05322,2.84830248,26.55230971
80,32,668,9.36603,30,2.43975,2.631154379,15.66163087
80,42,692,15.99611,4,3.59669,0.528249791,6.83353383
80,42,692,15.99611,6,3.45344,1.395021329,16.6373701
80,42,692,15.99611,8,3.31407,2.020002927,22.18581327
80,42,692,15.99611,10,3.16952,2.375829627,23.86724476
80,42,692,15.99611,12,3.02545,2.541619295,23.26432513
80,42,692,15.99611,14,2.88613,2.629753224,21.90517739
80,42,692,15.99611,16,2.75374,2.665417163,20.21208221
80,42,692,15.99611,18,2.62907,2.67505364,18.48999501
80,42,692,15.99611,20,2.51221,2.651936371,16.7368984
80,42,692,15.99611,30,2.0305,2.504869357,10.32740164
80,52,717,22.2325,4,2.84538,0.394750731,3.195975876
80,52,717,22.2325,6,2.7564,1.115254942,8.473418153
80,52,717,22.2325,8,2.65449,1.732925639,12.21074366
80,52,717,22.2325,10,2.54681,2.087324666,13.5388912
80,52,717,22.2325,12,2.43865,2.288373157,13.6089868
80,52,717,22.2325,14,2.3333,2.410461842,13.12325063
80,52,717,22.2325,16,2.23248,2.457681226,12.24900201
80,52,717,22.2325,18,2.13693,2.441750858,11.15018161
80,52,717,22.2325,20,2.04682,2.437549406,10.21204526
80,52,717,22.2325,30,1.67012,2.214927578,6.178099296
80,60,771,27.91157,4,2.42405,0.33193952,1.950482726
80,60,771,27.91157,6,2.34939,0.97794226,5.397882734
80,60,771,27.91157,8,2.26455,1.551233482,7.955014914
80,60,771,27.91157,10,2.17566,1.90808976,9.031936076
80,60,771,27.91157,12,2.08668,2.123499893,9.246214209
